,City,Lat,Lng,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
89,georgiyevskoye,58.731,45.024,RU,282.62,95,100,3.12,1649684725
90,jiaojiang,28.6803,121.4428,CN,291.6,96,53,1.31,1649684726
91,chokurdakh,70.6333,147.9167,RU,253.64,95,100,3.27,1649684726
92,kapaa,22.0752,-159.319,US,295.44,96,75,3.6,1649684726
93,stornoway,58.2093,-6.3865,GB,284.28,65,0,3.09,1649684727
94,vaini,-21.2,-175.2,TO,299.24,89,75,5.14,1649684727
95,vaitupu,,,,,,,,
96,lavrentiya,65.5833,-171,RU,262.29,100,96,1.85,1649684727
97,bambous virieux,-20.3428,57.7575,MU,297.71,94,75,5.66,1649684728
98,benito juarez,19.385,-99.165,MX,289.82,66,75,1.54,1649684728
99,khatanga,71.9667,102.5,RU,250.07,100,85,1,1649684728
100,coahuayana,18.7333,-103.6833,MX,299.69,55,26,1.18,1649684729
101,shubarkuduk,49.1447,56.4872,KZ,287.91,67,62,2.67,1649684729
102,rangoon,16.8053,96.1561,MM,306.13,58,20,1.54,1649684730
103,mys shmidta,,,,,,,,
104,mogadishu,2.0371,45.3438,SO,301.93,72,100,7.1,1649684697
105,lebu,-37.6167,-73.65,CL,284.57,65,55,1.55,1649684730
106,revda,56.801,59.9303,RU,278.44,93,8,3.82,1649684730
107,mizan teferi,6.9833,35.5833,ET,297.71,60,86,1.25,1649684731
108,castro,-24.7911,-50.0119,BR,296.62,62,53,2.92,1649684731
109,belushya guba,,,,,,,,
110,aktash,50.3,87.7333,RU,264.23,81,6,0.21,1649684732
111,samusu,,,,,,,,
112,hithadhoo,-0.6,73.0833,MV,302.3,65,23,5.52,1649684732
113,nikolskoye,59.7035,30.7861,RU,281.97,74,100,3.06,1649684733
114,vega de alatorre,20.0333,-96.6333,MX,298.67,66,85,1.1,1649684733
115,aleksandrovsk-sakhalinskiy,50.8975,142.1561,RU,272.79,90,100,3.1,1649684733
116,constitucion,-35.3333,-72.4167,CL,286.14,59,14,2.65,1649684734
117,matagami,49.7502,-77.6328,CA,271.21,80,0,4.12,1649684734
118,alice springs,-23.7,133.8833,AU,299.9,32,100,2.06,1649684734
119,rocha,-34.4833,-54.3333,UY,293.74,91,100,5.05,1649684735
120,majene,-3.5403,118.9707,ID,299.62,77,30,1.47,1649684735
121,burns lake,54.2331,-125.7533,CA,261.83,83,13,1.36,1649684735
122,ambon,-3.6954,128.1814,ID,299.23,94,40,1.54,1649684736
123,caravelas,-17.7125,-39.2481,BR,300.39,78,31,0.51,1649684736
124,dolbeau,,,,,,,,
125,soyo,-6.1349,12.3689,AO,300.92,75,98,0.89,1649684737
126,cortez,37.3489,-108.5859,US,279.09,63,0,2.57,1649684737
127,kodiak,57.79,-152.4072,US,269.88,68,0,2.06,1649684737
128,ixtapa,20.7,-105.2,MX,294.94,91,0,0.84,1649684738
129,tiksi,71.6872,128.8694,RU,248.67,97,52,3.25,1649684738
130,umzimvubu,,,,,,,,
131,los llanos de aridane,28.6585,-17.9182,ES,292.01,79,75,4.47,1649684738
132,tual,-5.6667,132.75,ID,301.47,71,100,3.4,1649684739
133,kokoda,-8.8785,147.7407,PG,297.66,94,99,1.11,1649684739
134,macaubas,-13.0194,-42.6986,BR,306.91,27,20,1.26,1649684739
135,shubarshi,48.5872,57.1869,KZ,288.91,63,39,2.96,1649684740
136,uyemskiy,64.4743,40.8524,RU,283.18,37,20,5,1649684740
137,jampur,29.6441,70.5954,PK,310.38,10,100,4.22,1649684740
138,road town,18.4167,-64.6167,VG,301.2,69,40,4.12,1649684741
139,lata,40.1629,-8.3327,PT,289.16,73,82,5.57,1649684741
140,lorengau,-2.0226,147.2712,PG,301.28,77,5,5.2,1649684742
141,melville,40.7934,-73.4151,US,282.41,51,0,4.12,1649684742
142,flin flon,54.7682,-101.865,CA,266.06,73,100,3.09,1649684742
143,naryan-mar,67.6713,53.087,RU,274.28,98,100,4.98,1649684743
144,broken hill,-31.95,141.4333,AU,294.99,46,0,5.14,1649684743
145,jasper,37.2001,-94.3502,US,285.5,84,75,3.09,1649684555
146,pokaran,26.9167,71.9167,IN,307.48,10,100,4.75,1649684743
147,montichiari,45.4152,10.3907,IT,292.14,36,0,1.54,1649684744
148,port alfred,-33.5906,26.891,ZA,296.03,77,100,3.13,1649684744
149,salalah,17.0151,54.0924,OM,303.2,74,0,4.63,1649684744
150,gigmoto,13.7796,124.39,PH,299.51,91,100,6.31,1649684745
151,commerce,34.0006,-118.1598,US,289.6,81,100,0,1649684707
152,bhatkal,13.9667,74.5667,IN,301.56,80,70,3.68,1649684745
153,aswan,24.0934,32.907,EG,315.76,7,0,2.06,1649684746
154,mirabad,30.4362,61.8383,AF,306.53,8,0,2.77,1649684746
155,takoradi,4.8845,-1.7554,GH,303.65,65,100,5.15,1649684746
156,jiexiu,37.0244,111.9125,CN,287.85,52,100,3.2,1649684747
157,vangaindrano,-23.35,47.6,MG,297.84,78,4,3.03,1649684747
158,havre-saint-pierre,50.2334,-63.5986,CA,279.35,56,100,7.2,1649684747
159,cidreira,-30.1811,-50.2056,BR,294.4,83,100,5.71,1649684748
160,nanortalik,60.1432,-45.2371,GL,274.37,53,83,2.87,1649684748
161,mrirt,,,,,,,,
162,port hedland,-20.3167,118.5667,AU,300.18,69,15,3.09,1649684749
163,bengkulu,-3.8004,102.2655,ID,299.31,80,11,1.22,1649684749
164,huarmey,-10.0681,-78.1522,PE,294.41,83,84,3.6,1649684749
165,alta floresta,-9.8756,-56.0861,BR,303.05,70,0,2.57,1649684750
